nr,genres,popularity,spoken_languages,vote_average,keywords,budget,adult
32,"[9648, 18]",20.839,['English'],8.0,"[736, 918, 1196, 2110, 3515, 3587, 3660, 3661, 10594, 12999, 208349]",839727,False
33,"[35, 18, 10749]",15.629,['No Language'],8.3,"[1252, 1604, 1741, 2038, 2480, 2779, 4485, 5386, 9673, 12999, 33626, 154802, 176745, 183875]",1500000,False
34,"[80, 18]",14.752,['English'],7.8,"[378, 526, 697, 818, 1196, 2539, 2883, 3737, 10685, 11246, 34079, 209476, 214597]",3200000,False
35,"[28, 53]",35.156,"['English', 'German', 'Italian']",7.7,"[818, 949, 1470, 1562, 1812, 1930, 1953, 9826, 10051, 10950, 12670, 13116, 162914, 207317, 208289, 219404]",28000000,False
36,[878],83.002,"['Afrikaans', 'Chichewa; Nyanja', 'Sotho', 'Xhosa', 'Zulu', 'English']",7.4,"[100, 542, 2766, 3644, 4339, 4375, 4565, 6017, 6086, 8201, 9951, 10650, 11800, 12026, 12425, 158276, 160910, 195139, 231277, 233016, 250163, 268132]",30000000,False
37,"[18, 37]",73.505,"['English', 'French', 'German']",8.1,"[801, 1701, 3136, 3679, 6054, 9713, 9748, 9823, 10084, 10950, 12425, 33780, 160324, 179430, 187376, 188772, 202703, 207928]",100000000,False
38,"[80, 18, 53]",11.819,['English'],7.8,"[242, 974, 1562, 1812, 6149, 10051, 15363, 41523, 182541, 182546, 182550, 215257, 239275]",1800000,False
39,"[14, 18, 9648]",27.001,['English'],7.8,"[657, 970, 3335, 3800, 4379, 6203, 7358, 7942, 9887, 10532, 10629, 34117, 41329, 160977, 179878, 208289, 243230, 275311]",6000000,False
40,"[80, 18, 9648, 53]",11.628,['English'],8.2,"[4617, 9016, 9807, 9826, 11152, 159531, 163603, 208508, 237459]",927262,False
41,"[18, 35, 10752]",16.251,['English'],8.1,"[840, 1402, 2106, 2531, 3312, 8201, 10123, 34117, 160370, 160377, 160381, 160387, 165431, 194825, 214655]",1800000,False
42,"[14, 18, 10752]",32.3,['Spanish'],7.7,"[514, 836, 964, 2095, 3205, 5882, 6092, 7376, 9673, 9720, 14624, 18028, 18129, 156597, 207003, 210586, 241982, 252639, 267657]",19000000,False
43,"[878, 18, 10749]",32.57,['English'],8.1,"[563, 802, 931, 1453, 1566, 1604, 5625, 9673, 10937, 12400, 14534, 34265, 157171, 190255]",20000000,False
