nr,genres,popularity,spoken_languages,vote_average,keywords,budget,adult
142,"[80, 18]",32.139,"['English', 'Spanish']",8.2,"[242, 422, 444, 445, 1523, 1667, 1749, 2231, 6083, 6112, 7002, 7151, 7368, 9622, 33625, 164186, 167104, 207268, 225582, 252192, 270831]",1300000,False
143,"[28, 53, 878]",44.492,"['English', 'Spanish']",8.1,"[679, 1366, 3289, 4379, 4458, 4565, 11426, 11857, 14946, 33556, 160131, 160381, 162532, 175468, 175472, 219404, 269233]",102000000,False
144,"[35, 18, 10749]",13.734,['English'],8.2,"[242, 613, 725, 965, 1252, 1438, 1439, 1440, 1442, 1443, 1487, 9799, 34094, 207317]",3000000,False
145,"[18, 35, 10749]",12.876,['No Language'],7.4,"[886, 12396, 15162, 41390, 154800, 154802, 154806, 158225, 162262, 164641, 188647, 207716, 207876, 276265]",15000000,False
146,"[878, 28, 12]",243.681,"['English', 'Hindi', 'Russian']",7.7,"[242, 5539, 9715, 9717, 14909, 155030, 179430, 179431, 180547]",220000000,False
147,"[18, 10749, 10752]",10.117,['English'],7.8,"[447, 1543, 1956, 2367, 2425, 12999]",2100000,False
148,"[35, 80]",16.994,"['English', 'Hebrew', 'Spanish', 'German']",7.9,"[418, 420, 422, 1337, 1541, 1786, 1930, 5498, 10776, 12670, 33626, 34117, 155291, 160846, 163045, 167556, 198673, 200646, 207268, 219881]",15000000,False
149,"[80, 9648, 53]",10.2,['English'],7.7,"[351, 395, 703, 1803, 1936, 5923, 9826, 11168, 12570, 12670, 155790, 155851, 155860, 156091, 175514, 237462]",1600000,False
150,"[28, 18, 9648, 53]",24.949,"['English', 'French', 'Arabic', 'Russian', 'Spanish']",7.4,"[90, 417, 744, 782, 818, 1295, 3246, 3851, 3864, 4087, 6086, 6710, 9663, 9856, 10410, 10950, 11134, 14735, 14967, 164148, 185702, 186450, 219404, 226522]",70000000,False
151,"[18, 36, 10752]",14.801,"['Japanese', 'Thai', 'English']",7.8,"[233, 818, 836, 1261, 1956, 1968, 3434, 3450, 5499, 246195]",3000000,False
152,"[18, 28, 80, 53]",59.707,"['English', 'Mandarin']",8.5,"[849, 853, 1308, 2095, 3151, 4426, 4630, 7002, 9537, 9715, 9717, 10044, 10291, 14625, 18023, 33518, 33637, 163074, 207268]",185000000,False
153,"[18, 10752]",14.63,"['English', 'French', 'Russian', 'Vietnamese']",8.0,"[236, 422, 447, 904, 1415, 2956, 4119, 9713, 10580, 10685, 13027, 33772, 164852, 165431, 188944, 188991, 228755]",15000000,False
154,"[18, 53, 80]",33.216,"['English', 'Cantonese']",8.2,"[1568, 1680, 3149, 6149, 9713, 9714, 10391, 11199, 11578, 14617, 177235, 177258, 177259]",90000000,False
155,"[18, 36]",13.811,['English'],8.1,"[2804, 5565, 9672, 11612, 158023, 163075, 170383, 203624, 207673, 207928, 208666]",5000000,False
156,[27],56.114,"['German', 'French', 'Latin', 'Arabic', 'Greek', 'English']",7.7,"[2626, 3649, 3684, 5569, 9712, 10093, 10112, 10138, 11627, 15001, 18402, 157008, 161261, 179564, 179567, 198435, 256183]",8000000,False
157,"[28, 12, 35, 18, 10752]",9.201,['No Language'],8.1,"[470, 531, 1402, 2687, 3242, 3450, 5721, 6092, 10563, 13008, 154802, 158778, 179585, 236442, 272595]",750000,False
158,"[18, 80]",60.24,"['English', 'Italian', 'Latin']",8.7,"[131, 697, 699, 700, 818, 1295, 1715, 3149, 4677, 9748, 10291, 10391, 10909, 33421, 165725, 166462, 207883, 208611]",6000000,False
159,"[12, 35, 18]",9.965,['No Language'],8.0,"[1261, 1321, 1691, 2346, 3623, 4542, 4543, 9673, 9880, 12999, 154802, 180808, 183875, 186403]",923000,False
160,"[35, 18]",15.897,['English'],7.7,"[3182, 3616, 9840, 10683, 12670, 13027, 157799, 171206, 171219]",3000000,False
161,[18],10.098,['English'],7.9,"[387, 592, 818, 1591, 2493, 4932, 5571, 7312, 9890]",800000,False
162,"[35, 10752]",13.453,"['English', 'Esperanto']",8.4,"[407, 928, 1453, 1755, 1956, 2444, 2504, 2652, 2903, 3061, 3068, 6001, 8201, 12999, 158192, 165431, 191027]",2000000,False
163,"[12, 18, 36, 53, 10752]",16.299,"['English', 'German', 'French', 'Russian']",8.0,"[818, 895, 1223, 1480, 1505, 1563, 1879, 1956, 1968, 2147, 2652, 4276, 4565, 5034, 5136, 6089, 6917, 9672, 9774, 9777, 10614, 10685, 11105, 11246, 11267, 14735, 160175, 207883]",4000000,False
164,"[14, 18, 80]",62.974,"['French', 'English']",8.5,"[531, 791, 818, 2501, 2881, 5571, 6152, 6259, 8087, 9774, 9890, 9950, 11263, 13006, 156597, 167696, 214548, 239910]",60000000,False
165,"[12, 14, 28]",88.34,['English'],7.3,"[483, 603, 604, 606, 611, 818, 1262, 177912, 189092, 189093, 189094, 189099, 189102, 189103, 189108, 189114, 189115, 189119, 191739, 272017]",250000000,False
166,[18],9.844,['English'],7.8,"[236, 242, 395, 554, 567, 818, 1356, 2348, 6075, 10594, 18249, 40879]",2000000,False
167,"[35, 18]",12.138,['No Language'],8.2,"[290, 1252, 5572, 9253, 12999, 14514, 41005, 154802, 160840, 165402, 169498, 183875, 185201, 209090, 223172, 236677, 237222, 255861]",250000,False
168,"[80, 18, 53]",10.819,['English'],7.7,"[417, 596, 642, 643, 1157, 1328, 1587, 1589, 1591, 3149, 5809, 9016, 9807, 10051, 10856]",320000,False
169,"[18, 36]",16.354,['English'],7.7,"[1025, 2135, 2471, 3101, 3998, 4305, 4833, 6001, 6038, 9672, 9920, 10201, 12995, 214548, 241975, 243503, 252806, 261315]",15000000,False
170,"[10751, 16, 18]",135.034,['English'],8.3,"[697, 2043, 2123, 2887, 4344, 5276, 6464, 9826, 11326, 11436, 13084, 14767, 18035, 18136, 18153, 244492, 272794]",45000000,False
171,"[12, 14, 28]",84.803,['English'],8.4,"[603, 604, 606, 611, 818, 1653, 1964, 3739, 4063, 4268, 6092, 6782, 10364, 10563, 12554, 33788, 34079, 156761, 177912, 189093, 209220, 234213]",79000000,False
172,"[9648, 80, 53]",16.355,['English'],7.8,"[582, 697, 703, 9807, 9826, 11151, 12570, 155790, 155843, 155844, 185525]",375000,False
173,[37],10.57,['English'],7.8,"[75, 797, 2752, 3739, 3754, 4277, 9503, 10909, 33600, 155291]",3200000,False
174,"[53, 18]",11.602,['English'],7.7,"[2106, 2109, 3264, 4500, 10410, 10736, 12400, 15134, 165047, 208385, 241648, 260672]",2200000,False
175,"[28, 878]",165.505,['English'],8.2,"[83, 310, 312, 490, 530, 779, 1430, 1721, 2157, 3074, 3972, 4563, 4565, 6256, 12190, 186789, 187056, 194063, 219404, 221385]",63000000,False
176,"[80, 18, 53]",11.957,['English'],7.9,"[378, 2872, 3419, 6932, 9807, 9826, 10594, 14604, 33630, 33631, 155437]",795000,False
177,"[18, 10752]",30.9,"['Polish', 'German', 'Russian', 'English']",8.4,"[836, 1739, 1899, 1956, 1968, 2156, 2394, 2428, 2433, 2434, 2435, 2436, 2652, 5565, 6029, 10349, 14641, 14743, 21747]",35000000,False
178,"[18, 9648, 878]",28.233,['English'],8.2,"[271, 1328, 1523, 2343, 2913, 3737, 4034, 4662, 4988, 6062, 6069, 9104, 9823, 10028, 214839, 244001]",40000000,False
179,"[12, 10751, 14, 35, 10749]",14.718,['English'],7.6,"[818, 34117, 157186, 160350, 160362, 160364, 245358]",16000000,False
180,"[18, 80]",61.283,['English'],8.7,"[378, 417, 796, 2885, 4779, 8622, 9777, 12662, 180172, 207883]",25000000,False
181,"[27, 53]",43.405,['English'],8.2,"[612, 680, 818, 1533, 1611, 1897, 6262, 9957, 10241, 10629, 12565, 13028, 33457, 34117, 157314, 190107, 196986, 268073]",19000000,False
182,"[80, 18, 53]",9.375,['English'],8.3,"[818, 1812, 1930, 6259, 8087, 9826, 10714, 12565, 14895, 156176]",19000000,False
183,"[9648, 53, 18]",25.114,"['Latin', 'Spanish', 'English']",7.9,"[276, 516, 697, 1335, 2246, 2800, 3737, 5809, 6155, 9457, 11627, 12565, 13001, 14768, 15165, 162846, 208349, 210530, 256908]",40000000,False
184,"[35, 80, 18]",12.942,['English'],8.0,"[520, 622, 643, 1522, 3202, 6220, 9728, 10051, 167411, 167424, 167428, 167431, 214548]",5500000,False
185,"[28, 53, 878]",41.893,['English'],7.6,"[83, 310, 526, 679, 1280, 1366, 1373, 3289, 4379, 4565, 8087, 12339, 12670, 33556, 162484, 175468, 208757, 219404, 253388, 269233]",6400000,False
186,"[27, 9648, 878]",38.243,"['English', 'Norwegian']",8.0,"[818, 1612, 1826, 2340, 2766, 3373, 4713, 4862, 9714, 9951, 13031, 14728, 14729, 15250, 34117, 155821, 183787, 220392, 238467]",15000000,False
187,"[53, 9648]",13.592,"['English', 'Russian', 'German']",8.0,"[1201, 1227, 2449, 2968, 3055, 3533, 4100, 4694, 5340, 9665, 9807, 14967, 18267, 41412, 156091, 160224, 165142, 241805, 241806]",0,False
188,"[12, 18, 37]",11.993,['English'],8.0,"[534, 818, 1321, 4542, 5332, 8577, 9713, 10594, 14638, 33344, 33684, 162726, 207876]",3800000,False
189,"[35, 18]",31.002,['English'],8.1,"[563, 2041, 2136, 2147, 2340, 3301, 3972, 3979, 4565, 5824, 6038, 9758, 10092, 10582, 18298, 207063]",60000000,False
190,"[80, 18, 36, 53]",18.98,['English'],7.8,"[520, 947, 3149, 3605, 14899, 168590, 177354, 177359, 177362, 177364, 214548]",25000000,False
191,"[18, 80, 53]",20.749,"['Spanish', 'English', 'French', 'Hungarian']",8.2,"[242, 5493, 9856, 10051, 11734, 12570, 14604, 15009, 18023, 158022, 184312, 207268, 263443]",6000000,False
192,"[12, 37]",10.391,"['English', 'German', 'Italian', 'Spanish']",7.7,"[240, 642, 801, 1556, 2940, 6054, 9812, 10726, 10950, 13065, 163671, 189262]",6244087,False
193,"[12, 14, 10751]",44.416,['English'],7.6,"[616, 704, 818, 1308, 1566, 2043, 2213, 2214, 3151, 4344, 7658, 11409, 13001, 15149, 166726, 177912, 191616, 206008, 238526, 242556, 246466]",2777000,False
194,[18],18.136,['English'],8.1,"[380, 387, 1499, 1635, 2355, 3419, 5175, 5905, 9622, 10590, 10594, 15127, 33457, 157291, 174916, 188953, 209051]",25000000,False
195,"[80, 18]",13.664,['English'],8.1,"[380, 577, 769, 818, 1412, 1533, 1679, 1952, 2005, 2075, 3009, 3010, 3011, 3012, 6094, 6145, 6148, 12425, 208349, 214548, 214780, 246466]",2000000,False
196,"[14, 16, 10751]",46.11,['Japanese'],8.1,"[380, 456, 4908, 5331, 11004, 11612, 18127, 33467, 33637, 195269, 210024]",3700000,False
197,"[80, 53]",9.568,"['English', 'Spanish']",7.8,"[612, 1411, 2286, 2676, 3149, 5340, 5616, 7336, 9807, 11440, 12999]",829000,False
198,"[16, 12, 10751, 35]",156.607,['English'],8.0,"[779, 931, 6054, 6733, 8102, 9713, 9823, 10084, 10364, 15214, 33553, 165503, 170722, 180523, 187065, 242792]",30000000,False
199,"[18, 80]",19.92,['English'],8.0,"[212, 388, 818, 1803, 2095, 2231, 2334, 2375, 2671, 2694, 3130, 3131, 3298, 6054, 6657, 9887, 10123, 10261, 10649, 11733, 14964, 34117, 155936, 156117, 206829]",4000000,False
200,"[18, 9648, 10749]",13.703,['French'],8.0,"[934, 1533, 2863, 4918, 5259, 5260, 9935, 15162]",0,False
